wave21	wave20
-210	1464.2237
-68.77	1464.2632
-70.79000000000001	1464.3026
-68.458	1464.3421
-210	1464.3816
-210	1464.4211
-210	1464.4605
-210	1464.5
-210	1464.5395
-57.949	1464.5789
-49.551	1464.6184
-48.186	1464.6579
-47.625	1464.6974
-47.889	1464.7368
-48.622	1464.7763
-51.019	1464.8158
-56.868	1464.8553
-59.214	1464.8947
-210	1464.9342
-62.467	1464.9737
-71.97	1465.0132
-210	1465.0526
-68.464	1465.0921
-61.623	1465.1316
-210	1465.1711
-63.209	1465.2105
-59.437	1465.25
-56.343	1465.2895
-48.907	1465.3289
-46.982	1465.3684
-47.001	1465.4079
-47.304	1465.4474
-47.767	1465.4868
-50.631	1465.5263
-54.318	1465.5658
-60.748	1465.6053
-63.49	1465.6447
-60.046	1465.6842
-71.349	1465.7237
-63.303	1465.7632
-210	1465.8026
-60.699	1465.8421
-210	1465.8816
-210	1465.9211
-65.527	1465.9605
-63.789	1466
-52.629	1466.0395
-47.8	1466.0789
-46.996	1466.1184
-46.797	1466.1579
-47.391	1466.1974
-48.741	1466.2368
-52.306	1466.2763
-59.881	1466.3158
-56.797	1466.3553
-63.896	1466.3947
-64.455	1466.4342
-73.59699999999999	1466.4737
-210	1466.5132
-210	1466.5526
-210	1466.5921
-210	1466.6316
-210	1466.6711
-56.245	1466.7105
-53.385	1466.75
-47.476	1466.7895
-45.874	1466.8289
-45.82	1466.8684
-46.094	1466.9079
-46.962	1466.9474
-50.115	1466.9868
-54.989	1467.0263
-58.048	1467.0658
-60.232	1467.1053
-71.986	1467.1447
-61.241	1467.1842
-59.125	1467.2237
-210	1467.2632
-210	1467.3026
-63.902	1467.3421
-58.57	1467.3816
-56.089	1467.4211
-55.644	1467.4605
-48.809	1467.5
-46.069	1467.5395
-45.743	1467.5789
-45.638	1467.6184
-46.271	1467.6579
-48.711	1467.6974
-53.299	1467.7368
-59.808	1467.7763
-60.865	1467.8158
-210	1467.8553
-61.134	1467.8947
-210	1467.9342
-210	1467.9737
-210	1468.0132
-210	1468.0526
-67.42400000000001	1468.0921
-57.617	1468.1316
-56.255	1468.1711
-51.879	1468.2105
-45.798	1468.25
-44.567	1468.2895
-44.498	1468.3289
-44.754	1468.3684
-45.915	1468.4079
-49.473	1468.4474
-54.295	1468.4868
-76.21299999999999	1468.5263
-210	1468.5658
-61.088	1468.6053
-210	1468.6447
-60.772	1468.6842
-60.623	1468.7237
-76.21599999999999	1468.7632
-61.144	1468.8026
-74.72499999999999	1468.8421
-58.12	1468.8816
-54.11	1468.9211
-47.396	1468.9605
-44.873	1469
-44.498	1469.0395
-44.593	1469.0789
-46.136	1469.1184
-48.881	1469.1579
-54.563	1469.1974
-63.521	1469.2368
-64.601	1469.2763
-65.874	1469.3158
-60.165	1469.3553
-62.143	1469.3947
-66.398	1469.4342
-210	1469.4737
-59.291	1469.5132
-62.144	1469.5526
-57.19	1469.5921
-56.148	1469.6316
-48.867	1469.6711
-44.325	1469.7105
-43.741	1469.75
-43.727	1469.7895
-43.964	1469.8289
-45.562	1469.8684
-49.251	1469.9079
-56.133	1469.9474
-58.597	1469.9868
-210	1470.0263
-210	1470.0658
-69.15600000000001	1470.1053
-57.062	1470.1447
-210	1470.1842
-63.931	1470.2237
-59.634	1470.2632
-60.542	1470.3026
-55.46	1470.3421
-53.262	1470.3816
-45.414	1470.4211
-43.748	1470.4605
-43.473	1470.5
-43.583	1470.5395
-44.559	1470.5789
-47.329	1470.6184
-51.114	1470.6579
-56.002	1470.6974
-72.754	1470.7368
-59.839	1470.7763
-59.799	1470.8158
-60.006	1470.8553
-210	1470.8947
-66.057	1470.9342
-210	1470.9737
-61.112	1471.0132
-55.956	1471.0526
-55.858	1471.0921
